case,method,seed,evaluation,best_value
ga_blx_seed2,ga,2,89,0.016731912427890995
ga_blx_seed2,ga,2,90,0.016731912427890995
ga_blx_seed2,ga,2,91,0.016731912427890995
ga_blx_seed2,ga,2,92,0.016731912427890995
ga_blx_seed2,ga,2,93,0.016731912427890995
ga_blx_seed2,ga,2,94,0.016731912427890995
ga_blx_seed2,ga,2,95,0.016731912427890995
ga_blx_seed2,ga,2,96,0.016731912427890995
ga_blx_seed2,ga,2,97,0.016731912427890995
ga_blx_seed2,ga,2,98,0.016731912427890995
ga_blx_seed2,ga,2,99,0.016731912427890995
ga_blx_seed2,ga,2,100,0.016731912427890995
ga_blx_seed2,ga,2,101,0.016731912427890995
ga_blx_seed2,ga,2,102,0.016731912427890995
ga_blx_seed2,ga,2,103,0.016731912427890995
ga_blx_seed2,ga,2,104,0.016731912427890995
ga_blx_seed2,ga,2,105,0.016731912427890995
ga_blx_seed2,ga,2,106,0.016731912427890995
ga_blx_seed2,ga,2,107,0.016731912427890995
ga_blx_seed2,ga,2,108,0.016731912427890995
ga_blx_seed2,ga,2,109,0.016731912427890995
ga_blx_seed2,ga,2,110,0.016731912427890995
ga_blx_seed2,ga,2,111,0.016731912427890995
ga_blx_seed2,ga,2,112,0.016731912427890995
ga_blx_seed2,ga,2,113,0.016731912427890995
ga_blx_seed2,ga,2,114,0.016731912427890995
ga_blx_seed2,ga,2,115,0.016731912427890995
ga_blx_seed2,ga,2,116,0.016731912427890995
ga_blx_seed2,ga,2,117,0.01673191066547785
ga_blx_seed2,ga,2,118,0.01673191066547785
ga_blx_seed2,ga,2,119,0.01673191066547785
ga_blx_seed2,ga,2,120,0.01673191066547785
ga_blx_seed2,ga,2,121,0.01673191066547785
ga_blx_seed2,ga,2,122,0.01673191066547785
ga_blx_seed2,ga,2,123,0.01673191066547785
ga_blx_seed2,ga,2,124,0.01673191066547785
ga_blx_seed2,ga,2,125,0.01673191066547785
ga_blx_seed2,ga,2,126,0.01673191066547785
ga_blx_seed2,ga,2,127,0.01673191066547785
ga_blx_seed2,ga,2,128,0.01673191066547785
ga_blx_seed2,ga,2,129,0.01673191066547785
ga_blx_seed2,ga,2,130,0.01673191066547785
ga_blx_seed2,ga,2,131,0.01673191066547785
ga_blx_seed2,ga,2,132,0.01673191066547785
ga_blx_seed2,ga,2,133,0.01673191066547785
ga_blx_seed2,ga,2,134,0.01673191066547785
ga_blx_seed2,ga,2,135,0.01673191066547785
ga_blx_seed2,ga,2,136,0.016731910255553165
ga_blx_seed2,ga,2,137,0.016731910255553165
ga_blx_seed2,ga,2,138,0.016731910255553165
ga_blx_seed2,ga,2,139,0.016731910255553165
ga_blx_seed2,ga,2,140,0.016731910255553165
ga_blx_seed2,ga,2,141,0.016731910255553165
ga_blx_seed2,ga,2,142,0.016731910255553165
ga_blx_seed2,ga,2,143,0.016731910255553165
ga_blx_seed2,ga,2,144,0.016731910255553165
ga_blx_seed2,ga,2,145,0.016731910255553165
ga_blx_seed2,ga,2,146,0.016731910255553165
ga_blx_seed2,ga,2,147,0.016731910255553165
ga_blx_seed2,ga,2,148,0.016731910255553165
ga_blx_seed2,ga,2,149,0.016731910255553165
ga_blx_seed2,ga,2,150,0.016731910255553165
ga_blx_seed2,ga,2,151,0.016731910255553165
ga_blx_seed2,ga,2,152,0.016731910255553165
ga_blx_seed2,ga,2,153,0.016731910255553165
ga_blx_seed2,ga,2,154,0.016731910255553165
ga_blx_seed2,ga,2,155,0.016731910255553165
ga_blx_seed2,ga,2,156,0.016731910255553165
ga_blx_seed2,ga,2,157,0.016731910048228844
ga_blx_seed2,ga,2,158,0.016731910048228844
ga_blx_seed2,ga,2,159,0.016731910048228844
ga_blx_seed2,ga,2,160,0.016731910048228844
ga_blx_seed2,ga,2,161,0.016731910048228844
ga_blx_seed2,ga,2,162,0.016731910048228844
ga_blx_seed2,ga,2,163,0.016731910048228844
ga_blx_seed2,ga,2,164,0.016731909868296306
ga_blx_seed2,ga,2,165,0.016731909868296306
ga_blx_seed2,ga,2,166,0.016731909868296306
ga_blx_seed2,ga,2,167,0.016731909868296306
ga_blx_seed2,ga,2,168,0.016731909868296306
ga_blx_seed2,ga,2,169,0.016731909868296306
